"xml:id"	"Lemma"	"Wortart"	"Level"	"Definition"		"Konzept"
"A00303"	"an-setzen"		"3."	"anstellen; Brombeeren, Mirabellen, Chinawurzel usw. in Alkohol einweichen, um ein besonders hygienisches Likör herzustellen"		"kein Trinken"
"B00394"	"be-duselt"	"adj."		"angetrunken"		"kein Trinken"
"B00527"	"be-newelt"	"adj."		"leicht betrunken, benebelt"		"kein Trinken"
"B00615"	"be-sawelt"	"adj."		"betrunken"		"kein Trinken"
"B00888"	"Pistasch"			"Knallbonbon"		"kein Trinken"
"B00894"	"Bitsch I"		"2."	"Rausch"		"kein Trinken"
"B01409"	"Bremm"	"f."		"Landgut u. Wirtshaus bei Forbach"		"kein Trinken"
"B01550"	"prowieren"		"1."	"probieren, kosten, versuchen"		"kein Trinken"
"B01764"	"Buschong"			"Korkstöpsel, Propfen"		"kein Trinken"
"D00093"	"Damp"	"m."	"3."	"Rausch, Betäubung durch geistige Getränke"		"kein Trinken"
"D00098"	"Dämpert"		"1."	"starker Raucher"		"kein Trinken"
"D00111"	"Danne-strauss"			"Tannenzweig als Aushängeschild eines Wirtshauses"		"kein Trinken"
"D00361"	"Tibi"	"m."		"Rausch"		"kein Trinken"
"D00678"	"Traht"	"f."	"5."	"Rausch"		"kein Trinken"
"D00710"	"Trappert"	"m."		"Rausch"		"kein Trinken"
"D00928"	"dronken"	"adj."	"1."	"betrunken"		"kein Trinken"
"D01174"	"Dusel"	"m."	"2."	"Rausch"		"kein Trinken"
"F00703"	"ver-suchen"	"tr. v."		"versuchen, kosten"		"kein Trinken"
"F00823"	"Viertel"		"1."	"der 4. Teil eines Maßes"		"kein Trinken"
"F01050"	"Flesch"	"f."	"1."	"Flasche, Feldflasche"		"kein Trinken"
"F01121"	"voll"	"adj."	"2."	"betrunken"		"kein Trinken"
"F01125"	"Vollchit"	"f."		"Betrunkenheit"		"kein Trinken"
"G00073"	"ganglen"	"intr. v."		"hin- u. herschwanken (vom Trunkenbold)"		"kein Trinken"
"G00621"	"ge-schwatt"	"adj."		"betrunken"		"kein Trinken"
"H00236"	"Här-geld"	"n."		"Handgeld, Trinkgeld"		"kein Trinken"
"H00240"	"Harrijen"			"Handgeld, Draufgeld, Trinkgeld"		"kein Trinken"
"H00573"	"Hib"	"m."		"Räuschchen"		"kein Trinken"
"H00844"	"Hucker"		"2."	"gewohnheitsmäßiger Wirtshaussitzer"		"kein Trinken"
"I00092"	"in-schenken"	"tr. v."		"einschenken"		"kein Trinken"
"I00095"	"in-schlagen"			"Obst, bes. Zwetschen in ein Faß füllen, um Schnaps herzustellen"		"kein Trinken"
"K00024"	"Kaffee"	"m."	"2."	"Kaffeehaus"		"kein Trinken"
"K00144"	"kanone-voll"	"adj."		"völlig betrunken"		"kein Trinken"
"K00569"	"Kischt"	"f."	"2."	"Rausch"		"kein Trinken"
"K00974"	"Konkel"	"f."	"2."	"Säuferin"		"kein Trinken"
"K01012"	"koren"	"tr. v."		"kosten; versuchen, wie etwas schmeckt"		"kein Trinken"
"K01048"	"Kotzpenning"			"Gottespfennig, Trinkgeld, Almosen"		"kein Trinken"
"L00553"	"Lump"	"m."		"Lump, Verschwender, Trunkenbold"		"kein Trinken"
"R00186"	"Rausch"	"m."	"1."	"Betrunkenheit"		"kein Trinken"
"R00242"	"regalieren"		"1."	"bewirten, die Zeche bezahlen"		"kein Trinken"
"R00242"	"regalieren"		"2."	"sich durch Speise u. Trank laben"		"kein Trinken"
"R00400"	"Ribott"	"f."		"Rausch, Saufgelage"		"kein Trinken"
"R00673"	"Rusch"	"m."		"Rausch"		"kein Trinken"
"S00146"	"Satz I"		"2."	"Bodensatz, Niederschlag einer jeden Flüssigkeit"		"kein Trinken"
"S00468"	"schicker"	"adj."		"betrunken"		"kein Trinken"
"S00775"	"Schluck I"	"m."	"1."	"Schluck, Zug"		"kein Trinken"
"S00916"	"Schapslischt"			"Trinkerliste"		"kein Trinken"
"S00912"	"Schapskessel"		"b)"	"Schnapsnase"		"kein Trinken"
"S01001"	"Schnikert"	"m."		"Schnapstrinker"		"kein Trinken"
"S01005"	"Schnips"	"m."	"1."	"kleiner Rausch"		"kein Trinken"
"S01117"	"schores"	"n."		"betrunken"		"kein Trinken"
"S01522"	"Siffer"	"m."		"Säufer, Trunkenbold"		"kein Trinken"
"S01523"	"Siffersch"	"f."		"Säuferin"		"kein Trinken"
"S01849"	"Spritzer"	"m."	"2."	"leichter Rausch"		"kein Trinken"
"S02015"	"Steiwer"	"m."		"kleiner Rausch"		"kein Trinken"
"S02065"	"sterrevoll"			"ganz betrunken"		"kein Trinken"
"S02144"	"Stiwer"			"Räuschchen"		"kein Trinken"
"S02220"	"strack"	"adj. u. adv."	"4."	"sinnlos betrunken"		"kein Trinken"
"S02447"	"Suff-lappe"	"m."		"Trinker, Säufer"		"kein Trinken"
"S02450"	"Sufferei"	"f."		"Säuferei, anhaltendes Trinken, Trinkgelage"		"kein Trinken"
"W00464"	"Wirt"	"m."		"Wirt, Gastwirt. Wdgn"		"kein Trinken"
"W00467"	"Wirtslitt"			"Wirte"		"kein Trinken"
"W00469"	"Wirtei"	"f."		"Wirtsgewerbe, Wirtschaft"		"kein Trinken"
"Z00034"	"Zapen"	"m."	"1."	"Zapfen am Faß, an der Flasche, am Gebälk, Eiszapfen"		"kein Trinken"
"Z00038"	"zappen"		"1."	"Wein, Bier vom Zapfen schenken"		"kein Trinken"
"Z00125"	"ziehen"		"4."	"zapfen"		"kein Trinken"
